"d_native","d_non_native","power"
0.02,0,0.0475
0.07,0,0.19
0.12,0,0.405
0.17,0,0.6925
0.22,0,0.9025
0.27,0,0.9775
0.32,0,0.9975
0.02,0.05,0.12
0.07,0.05,0.0425
0.12,0.05,0.1125
0.17,0.05,0.34
0.22,0.05,0.6275
0.27,0.05,0.88
0.32,0.05,0.9775
0.02,0.1,0.42
0.07,0.1,0.165
0.12,0.1,0.055
0.17,0.1,0.0475
0.22,0.1,0.24
0.27,0.1,0.49
0.32,0.1,0.7925
0.02,0.15,0.8175
0.07,0.15,0.605
0.12,0.15,0.255
0.17,0.15,0.0975
0.22,0.15,0.06
0.27,0.15,0.1875
0.32,0.15,0.4375
0.02,0.2,0.9775
0.07,0.2,0.915
0.12,0.2,0.6875
0.17,0.2,0.46
0.22,0.2,0.1675
0.27,0.2,0.0625
0.32,0.2,0.1
