d_native,d_foreign,power,mean_est,bias
0.02,0,0.07,0.02232003988616332,0.0023200398861633184
0.07,0,0.252,0.07140854686302696,0.0014085468630269584
0.12000000000000001,0,0.574,0.1192065715563946,-7.93428443605415e-4
0.17,0,0.862,0.16816166319024675,-0.001838336809753255
0.22,0,0.978,0.22230581565148747,0.002305815651487462
0.27,0,0.996,0.2706508843834434,6.508843834434313e-4
0.32000000000000006,0,1,0.3175536368330424,-0.0024463631669576612
0.02,0.05,0.076,-0.02868481710809723,0.0013151828919027693
0.07,0.05,0.074,0.023266379808101693,0.0032663798081016904
0.12000000000000001,0.05,0.234,0.07096384429698252,9.638442969825161e-4
0.17,0.05,0.58,0.11818578660420141,-0.0018142133957985936
0.22,0.05,0.892,0.16894751109801429,-0.0010524889019857043
0.27,0.05,0.99,0.2191871975563954,-8.128024436046285e-4
0.32000000000000006,0.05,1,0.26873348106790046,-0.0012665189320996378
0.02,0.1,0.326,-0.077917066301705,0.0020829336982950016
0.07,0.1,0.07,-0.026933899110968475,0.0030661008890315255
0.12000000000000001,0.1,0.048,0.01683704702363129,-0.0031629529763687147
0.17,0.1,0.262,0.07418607470051385,0.004186074700513843
0.22,0.1,0.592,0.11849105065518813,-0.0015089493448118697
0.27,0.1,0.92,0.1732993462151635,0.0032993462151634867
0.32000000000000006,0.1,0.988,0.22037565519182695,3.756551918268906e-4
0.02,0.15000000000000002,0.696,-0.13132216456665677,-0.001322164566656727
0.07,0.15000000000000002,0.328,-0.07969869390915965,3.0130609084035736e-4
0.12000000000000001,0.15000000000000002,0.096,-0.032024063093895896,-0.002024063093895886
0.17,0.15000000000000002,0.048,0.01909497103075949,-9.050289692404999e-4
0.22,0.15000000000000002,0.268,0.06787752424018721,-0.0021224757598127626
0.27,0.15000000000000002,0.676,0.1207240228192473,7.240228192473026e-4
0.32000000000000006,0.15000000000000002,0.952,0.17312457372546577,0.0031245737254657216
0.02,0.2,0.942,-0.18382909236909628,-0.003829092369096255
0.07,0.2,0.708,-0.12969861965503152,3.013803449685015e-4
0.12000000000000001,0.2,0.356,-0.07846653490060872,0.0015334650993912811
0.17,0.2,0.096,-0.027435198714420773,0.0025648012855792246
0.22,0.2,0.064,0.01733815166822202,-0.0026618483317779715
0.27,0.2,0.238,0.0667505567092149,-0.003249443290785106
0.32000000000000006,0.2,0.714,0.12025994877887261,2.599487788725546e-4
