MDE,delta_eu,delta_non,power,mean_est,bias,coverage
0.01,0.005,0.01,0.09,-0.010055999999999869,-5.599999999986773e-5,0.93
0.03,0.015,0.03,0.158,-0.030951999999999757,-9.519999999997583e-4,0.948
0.05,0.025,0.05,0.352,-0.04900799999999967,9.920000000003357e-4,0.94
0.06999999999999999,0.034999999999999996,0.06999999999999999,0.632,-0.07098399999999959,-9.839999999995944e-4,0.938
0.09,0.045,0.09,0.806,-0.08913199999999946,8.680000000005282e-4,0.958
0.11,0.055,0.11,0.95,-0.11209599999999938,-0.002095999999999371,0.952
0.13,0.065,0.13,0.988,-0.12984799999999924,1.5200000000075198e-4,0.958
0.15000000000000002,0.07500000000000001,0.15000000000000002,1,-0.15009599999999915,-9.599999999911685e-5,0.946
0.17,0.085,0.17,1,-0.17011199999999904,-1.1199999999902096e-4,0.962
0.19,0.095,0.19,1,-0.18965999999999894,3.4000000000104997e-4,0.934
0.21000000000000002,0.10500000000000001,0.21000000000000002,1,-0.21042399999999886,-4.239999999988395e-4,0.946
0.23,0.115,0.23,1,-0.22943599999999872,5.640000000012803e-4,0.956
0.25,0.125,0.25,1,-0.25035199999999863,-3.519999999986105e-4,0.942
0.27,0.135,0.27,1,-0.27176799999999857,-0.0017679999999985242,0.936
0.29000000000000004,0.14500000000000002,0.29000000000000004,1,-0.29020399999999846,-2.0399999999841086e-4,0.962
