"MDE","power","mean_coef","bias","coverage"
0.01,0.068,-0.0110680000000006,-0.0210680000000006,0.886
0.03,0.186,-0.0328920000000012,-0.0628920000000012,0.478
0.05,0.326,-0.0484600000000016,-0.0984600000000016,0.132
0.07,0.604,-0.0703760000000023,-0.140376000000002,0.002
0.09,0.814,-0.0898400000000029,-0.179840000000003,0
0.11,0.942,-0.109528000000003,-0.219528000000003,0
0.13,0.99,-0.130000000000004,-0.260000000000004,0
0.15,0.996,-0.151128000000005,-0.301128000000005,0
0.17,1,-0.168940000000005,-0.338940000000005,0
0.19,1,-0.192192000000006,-0.382192000000006,0
0.21,1,-0.208992000000006,-0.418992000000006,0
0.23,1,-0.231592000000007,-0.461592000000007,0
0.25,1,-0.251700000000008,-0.501700000000008,0
0.27,1,-0.271020000000008,-0.541020000000008,0
0.29,1,-0.291112000000009,-0.581112000000009,0
